# https://www.nature.com/gim/journal/v19/n2/fig_tab/gim2016190t1.html							
# Table 1: ACMG SF v2.0 genes and associated phenotypes recommended for return of secondary findings in clinical sequencing							
Phenotype	MIM disorder	PMID Gene Reviews entry	Typical age of onset	Gene	MIM Gene	Inheritance	Variants to report
Hereditary breast and ovarian cancer	604370	20301425	Adult	BRCA1	113705	AD	KP and EP
Hereditary breast and ovarian cancer	612555	20301425	Adult	BRCA2	600185	AD	KP and EP
Li-Fraumeni syndrome	151623	20301488	Child / Adult	TP53	191170	AD	KP and EP
Peutz-Jeghers syndrome	175200	20301443	Child / Adult	STK11	602216	AD	KP and EP
Lynch syndrome	120435	20301390	Adult	MLH1	120436	AD	KP and EP
Lynch syndrome	120435	20301390	Adult	MSH2	609309	AD	KP and EP
Lynch syndrome	120435	20301390	Adult	MSH6	600678	AD	KP and EP
Lynch syndrome	120435	20301390	Adult	PMS2	600259	AD	KP and EP
Familial adenomatous polyposis	175100	20301519	Child / Adult	APC	611731	AD	KP and EP
Familial adenomatous polyposis	175100	20301519	Child / Adult	APC	611731	AD	KP and EP
"MYH-associated polyposis; adenomas, multiple colorectal, FAP type2; colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas"	608456; 132600	23035301	Adult	MUTYH	604933	AR	KP and EP
Juvenile polyposis	174900	20301642	Child / Adult	BMPR1A	601299	AD	KP and EP
Juvenile polyposis	174900	20301642	Child / Adult	SMAD4	600993	AD	KP and EP
Von Hippel-Lindau syndrome	193300	20301636	Child / Adult	VHL	608537	AD	KP and EP
Multiple endocrine neoplasia type 1	131100	20301710	Child / Adult	MEN1	613733	AD	KP and EP
Multiple endocrine neoplasia type 2	171400; 162300	20301434	Child / Adult	RET	164761	AD	KP
Familial medullary thyroid cancer	1552401	20301434	Child / Adult	RET	164761	AD	KP
PTEN hamartoma tumor syndrome	153480	20301661	Child / Adult	PTEN	601728	AD	KP and EP
Retinoblastoma	180200	20301625	Child	RB1	614041	AD	KP and EP
Hereditary paraganglioma-phenochromocytoma syndrome	168000 (PGL1)	20301715	Child / Adult	SDHD	602690	AD	KP and EP
Hereditary paraganglioma-phenochromocytoma syndrome	601650 (PGL2)	20301715	Child / Adult	SDHAF2	613019	AD	KP
